source,stopover,destination,direct_distance_km,via_distance_km,extra_distance_km,detour_ratio
Balıkesir,Bilecik,Eskişehir,226.09089779299342,249.46980469737292,23.378906904379505,0.10340490100483835
Balıkesir,Kütahya,Eskişehir,226.09089779299342,242.99179292090918,16.90089512791576,0.07475265609051651
Balıkesir,Yalova,İstanbul,177.45282932522397,208.62775580432643,31.174926479102453,0.17568007564402977
Bilecik,Balıkesir,Manisa,277.53972693590094,308.31818506903835,30.778458133137406,0.11089748654341602
Eskişehir,Bilecik,Balıkesir,226.09089779299342,249.46980469737292,23.378906904379505,0.10340490100483835
Eskişehir,Kütahya,Balıkesir,226.09089779299342,242.99179292090918,16.90089512791576,0.07475265609051651
Eskişehir,Sivas,Erzincan,767.195853725195,767.4467377214112,0.25088399621620283,0.0003270142754265848
Eskişehir,Kütahya,Isparta,223.7348354492928,251.32590543711024,27.591069987817434,0.12332040262040755
Eskişehir,Kütahya,Manisa,295.8611919101291,298.83105107049795,2.9698591603688556,0.010038015263830191
Eskişehir,Karaman,Mardin,927.7928482634169,1036.5632397918084,108.77039152839154,0.11723564342189197
Eskişehir,Kütahya,Mardin,927.7928482634169,1025.3202998223762,97.52745155895934,0.10511770137213805
Eskişehir,Mersin,Mardin,927.7928482634169,1031.6476505007868,103.85480223736988,0.11193748952878724
Eskişehir,Sivas,Mardin,927.7928482634169,975.5891995979971,47.79635133458021,0.0515161885802875
Eskişehir,Şanlıurfa,Mardin,927.7928482634169,948.2987195245564,20.505871261139532,0.022101777675394896
Eskişehir,Karaman,Mersin,488.1535875892216,504.63255084032755,16.478963251105938,0.033757742788470324
Eskişehir,Bilecik,Tekirdağ,287.7553760348925,289.95419577373025,2.1988197388377557,0.007641281178257131
Eskişehir,Yalova,Tekirdağ,287.7553760348925,296.2484295965111,8.49305356161858,0.029514838883805128
Eskişehir,İstanbul,Tekirdağ,287.7553760348925,312.38697531073626,24.63159927584377,0.08559909328282012
Eskişehir,Bilecik,Yalova,144.1017415713992,144.10723490359806,0.0054933321988528405,3.812120616264458e-05
Eskişehir,Bilecik,İstanbul,189.22808028649783,189.53310712846556,0.3050268419677309,0.0016119533713279122
Eskişehir,Kocaeli,İstanbul,189.22808028649783,209.20174356289354,19.973663276395712,0.1055533790024974
Eskişehir,Yalova,İstanbul,189.22808028649783,190.73662852587532,1.5085482393774896,0.007972116173738497
Eskişehir,Karaman,Şanlıurfa,776.7156085737436,866.3849373753048,89.66932880156128,0.11544679650022482
Eskişehir,Kütahya,Şanlıurfa,776.7156085737436,869.7494108432924,93.0338022695488,0.1197784636263246
Eskişehir,Mersin,Şanlıurfa,776.7156085737436,860.1166095567253,83.40100098298171,0.10737649670273552
Kocaeli,Yalova,Balıkesir,216.15588995996342,218.49941876080266,2.3435288008392376,0.01084184567569868
Kocaeli,İstanbul,Balıkesir,216.15588995996342,255.25065334182685,39.09476338186343,0.18086374324153098
Kocaeli,Bilecik,Erzincan,824.4136258870154,890.9776804755394,66.56405458852396,0.08074108978597416
Kocaeli,Eskişehir,Erzincan,824.4136258870154,898.5997732714857,74.18614738447025,0.08998656142376449
Kocaeli,Sivas,Erzincan,824.4136258870154,829.5624038475648,5.14877796054941,0.006245381928288385
Kocaeli,Zonguldak,Erzincan,824.4136258870154,850.968920715781,26.555294828765568,0.03221113042642143
Kocaeli,Bilecik,Eskişehir,131.40391954629067,140.68103500157082,9.277115455280153,0.07059999037556897
Kocaeli,Bilecik,Isparta,348.2990691742357,348.5159344699799,0.21686529574424185,0.000622641043108052
Kocaeli,Eskişehir,Isparta,348.2990691742357,355.13875499558344,6.839685821347757,0.01963739334004999
Kocaeli,Kütahya,Isparta,348.2990691742357,350.29660642845886,1.9975372542231753,0.0057351208516263075
Kocaeli,Bilecik,Kütahya,159.97684495661747,160.17880938813624,0.20196443151877475,0.0012624603990254446
Kocaeli,Eskişehir,Kütahya,159.97684495661747,192.41006351155954,32.43321855494207,0.20273695586218943
Kocaeli,Balıkesir,Manisa,325.0847163392066,337.1132046045886,12.028488265382009,0.0370010882112064
Kocaeli,Bilecik,Manisa,325.0847163392066,356.111827664512,31.02711132530544,0.09544315609390419
Kocaeli,Yalova,Manisa,325.0847163392066,331.74573422191065,6.661017882704073,0.020490098574039717
Kocaeli,Bilecik,Mardin,1013.9915856247263,1061.4785800600007,47.48699443527437,0.04683174407805102
Kocaeli,Erzincan,Mardin,1013.9915856247263,1114.7174742378998,100.72588861317342,0.09933602018118881
Kocaeli,Eskişehir,Mardin,1013.9915856247263,1059.1967678097076,45.205182184981254,0.04458141746524458
Kocaeli,Kütahya,Mardin,1013.9915856247263,1124.2910008137246,110.2994151889983,0.10877744623594898
Kocaeli,Sivas,Mardin,1013.9915856247263,1037.7048657241507,23.713280099424423,0.02338607187239572
Kocaeli,Yalova,Mardin,1013.9915856247263,1112.7425432988634,98.75095767413711,0.09738834037098654
Kocaeli,Zonguldak,Mardin,1013.9915856247263,1067.5770608208359,53.58547519610954,0.05284607481539916
Kocaeli,Şanlıurfa,Mardin,1013.9915856247263,1043.9919278334,30.000342208673715,0.029586381814194596
Kocaeli,Bilecik,Mersin,610.187556275666,628.8291890363761,18.64163276071008,0.030550660315806777
Kocaeli,Eskişehir,Mersin,610.187556275666,619.5575071355123,9.369950859846313,0.015355853726412683
Kocaeli,Karaman,Mersin,610.187556275666,632.3085805173549,22.12102424168893,0.036252827535039556
Kocaeli,Kütahya,Mersin,610.187556275666,660.041727875946,49.85417160027998,0.08170302899090465
Kocaeli,Bilecik,Sivas,617.3675092720346,680.0877678836126,62.72025861157806,0.10159306680316615
Kocaeli,Eskişehir,Sivas,617.3675092720346,686.6557626921716,69.28825342013704,0.11223177828363196
Kocaeli,Zonguldak,Sivas,617.3675092720346,653.6927927270362,36.32528345500168,0.05883899445540064
Kocaeli,Yalova,Tekirdağ,199.62098687663948,208.65323793606422,9.032251059424738,0.04524700133361437
Kocaeli,İstanbul,Tekirdağ,199.62098687663948,200.95671904084134,1.3357321642018576,0.006691341351935609
Kocaeli,Yalova,İstanbul,77.79782401660287,103.14143686542847,25.3436128488256,0.32576248975057465
Kocaeli,Bilecik,Şanlıurfa,872.4088168825871,912.8844776424429,40.47566075985583,0.0463952908047045
Kocaeli,Eskişehir,Şanlıurfa,872.4088168825871,908.1195281200343,35.710711237447185,0.040933459802771965
Kocaeli,Kütahya,Şanlıurfa,872.4088168825871,968.720111834641,96.31129495205391,0.11039697569335316
Kocaeli,Sivas,Şanlıurfa,872.4088168825871,944.2263165874115,71.8174997048244,0.08232092376307332
Kocaeli,Yalova,Şanlıurfa,872.4088168825871,967.2743720774163,94.8655551948292,0.108739794187106
Kocaeli,Zonguldak,Şanlıurfa,872.4088168825871,942.1788099786642,69.76999309607709,0.07997396604196294
Manisa,Balıkesir,Bilecik,277.53972693590094,308.31818506903835,30.778458133137406,0.11089748654341602
Manisa,Kütahya,Eskişehir,295.8611919101291,298.83105107049795,2.9698591603688556,0.010038015263830191
Manisa,Denizli,Isparta,289.3561236652083,301.72929687075464,12.373173205546323,0.042761055300361894
Manisa,Denizli,Mersin,665.0388034629632,674.9986042551676,9.959800792204419,0.014976270167007089
Manisa,Isparta,Mersin,665.0388034629632,665.6141004763385,0.5752970133753479,0.000865057813739023
Manisa,Karaman,Mersin,665.0388034629632,665.0608284440522,0.022024981088975437,3.311833982366785e-05
Manisa,Kütahya,Mersin,665.0388034629632,737.8897900245577,72.85098656159448,0.109543963723993
Manisa,Balıkesir,Sivas,835.5309464451386,902.2742034224614,66.74325697732274,0.0798812506721498
Manisa,Bilecik,Sivas,835.5309464451386,879.0553940909025,43.52444764576387,0.05209196359625401
Manisa,Denizli,Sivas,835.5309464451386,893.98149611195,58.45054966681141,0.06995617566948997
Manisa,Eskişehir,Sivas,835.5309464451386,851.11303505601,15.582088610871324,0.018649325530271543
Manisa,Isparta,Sivas,835.5309464451386,891.2655144342177,55.734567989079096,0.06670556994472565
Manisa,Kütahya,Sivas,835.5309464451386,841.6506976265086,6.11975118137002,0.007324386017546258
Manisa,Balıkesir,Tekirdağ,262.40369130380356,272.1236596614541,9.719968357650544,0.03704204125084898
Manisa,Balıkesir,Yalova,275.2391843109583,282.9501834944755,7.710999183517174,0.028015630124835322
Manisa,Balıkesir,İstanbul,296.78322682311943,298.4101439698492,1.6269171467297383,0.005481836571914478
Manisa,Yalova,İstanbul,296.78322682311943,321.8740712654344,25.09084444231496,0.08454266338059901
Mersin,Karaman,Eskişehir,488.1535875892216,504.63255084032755,16.478963251105938,0.033757742788470324
Mersin,Denizli,Manisa,665.0388034629632,674.9986042551676,9.959800792204419,0.014976270167007089
Mersin,Isparta,Manisa,665.0388034629632,665.6141004763385,0.5752970133753479,0.000865057813739023
Mersin,Karaman,Manisa,665.0388034629632,665.0608284440522,0.022024981088975437,3.311833982366785e-05
Mersin,Kütahya,Manisa,665.0388034629632,737.8897900245577,72.85098656159448,0.109543963723993
